,0
1700021C14Rik,2.724444080084376e-06
1700021F05Rik,1.324300021073549e-05
1700021F07Rik,3.944918042288866e-09
1700021K19Rik,1.2056028166147711e-05
1700021N21Rik,3.8941122796230244e-08
1700022A21Rik,3.855260814055028e-09
1700022A22Rik,2.4805166478028476e-09
1700022E09Rik,2.5701738760366856e-09
1700022H16Rik,1.1685325413143536e-08
1700022I11Rik,7.471435686153155e-08
1700022P22Rik,1.0785764556530695e-07
1700023A16Rik,2.5372995590176115e-08
1700023C21Rik,2.450630905058235e-09
1700023E05Rik,1.3660773008562429e-07
1700023F02Rik,1.0908296101783607e-08
1700023F06Rik,2.3023976210449563e-07
1700023L04Rik,6.376123214563103e-07
1700024B18Rik,4.360329866438981e-08
1700024F13Rik,1.8101794380411865e-07
1700024G13Rik,2.8914456105412713e-07
1700024P03Rik,7.351892715174705e-08
1700024P04Rik,9.174923022596074e-09
1700024P16Rik,1.703756308127621e-06
1700025B11Rik,5.439205179519497e-09
1700025C18Rik,2.450630905058235e-09
1700025E21Rik,1.0092415324855683e-07
1700025F22Rik,8.66686539593766e-09
1700025F24Rik,2.815236966542509e-08
1700025G04Rik,2.110005163552238e-05
1700025K23Rik,3.4821373158885397e-06
1700025K24Rik,1.3926756118989482e-08
1700025M24Rik,1.1655439670398922e-08
1700025N23Rik,4.83880060778023e-07
1700026D08Rik,6.961286057502618e-07
1700026D11Rik,9.485734747140047e-08
1700026F02Rik,1.4673899687604797e-08
1700026J04Rik,7.158531959617061e-07
1700026L06Rik,2.06178750620808e-06
1700027A15Rik,2.540288133292073e-09
1700027A23Rik,1.095043499905351e-06
1700027D21Rik,7.336949843802398e-08
1700027F09Rik,4.8086160076081706e-08
1700027H10Rik,1.631761553855849e-08
1700027I24Rik,1.4494585231137122e-08
1700027J07Rik,4.860916057411243e-07
1700028B04Rik,3.855260814055028e-09
1700028D13Rik,2.8391455607381993e-09
1700028E10Rik,1.2482975886997245e-06
1700028I16Rik,8.616059633271818e-08
1700028J19Rik,1.4965883394219663e-06
1700028K03Rik,6.241637372212346e-07
1700028M03Rik,5.977148548922524e-10
1700028P14Rik,2.0107127718575373e-07
1700028P15Rik,6.873720831260903e-10
1700029B22Rik,1.3089955322140329e-08
1700029F09Rik,3.486428908546666e-05
1700029F12Rik,2.0621162493782707e-09
1700029G01Rik,7.6164413099500155e-06
1700029H14Rik,4.190877705077028e-07
1700029I01Rik,6.569782827548192e-07
1700029I15Rik,4.4084459122578076e-07
1700029J03Rik,5.917377063433299e-09
1700029J07Rik,4.599236493939415e-06
1700029J11Rik,2.0752659761859004e-07
1700029M20Rik,2.15476205188657e-08
1700029N11Rik,1.3956641861734094e-08
1700029P11Rik,1.4614128202115573e-08
1700030A11Rik,1.6496929995026166e-08
1700030C10Rik,2.9032803646681376e-06
1700030F04Rik,9.951952333956002e-09
1700030F18Rik,3.472723306923986e-08
1700030J22Rik,5.287385606376866e-07
1700030K09Rik,1.4736420661426527e-05
1700030L20Rik,4.78171883913802e-10
1700030M09Rik,2.4805166478028476e-09
1700030N03Rik,1.1117496300995895e-08
1700030O20Rik,1.4046299089967932e-09
1700031A10Rik,1.048989570335903e-08
1700031F05Rik,3.855260814055028e-09
1700031M16Rik,2.0322305066336583e-09
1700031P21Rik,7.901790381675577e-08
1700034E13Rik,3.64606061484274e-09
1700034F02Rik,1.8122714400333094e-07
